from,to
53882,209741
53882,48604
53882,38950
53882,42603
53882,119553
53882,252915
53882,135678
93122,3512
487,134353
487,9581
487,154831
487,140398
487,154437
487,154016
487,8644
487,23054
487,167323
487,166632
487,13643
487,152474
487,7442
487,998
487,152702
487,105131
487,155993
487,135819
487,140509
487,161890
487,141856
487,42621
487,152635
487,150143
487,52756
487,107326
487,85460
487,153871
487,152191
487,42192
487,105325
487,46876
487,154890
487,64078
487,138607
487,154227
487,80973
487,120054
487,28204
487,64999
86200,61172
84958,61172
68960,61172
63257,174331
63257,96233
63257,166059
63257,228957
63257,241771
63257,121628
63257,51120
63257,41284
63257,36170
63257,4910
63257,173210
63257,58152
63257,53473
63257,1814
63257,4738
63257,99050
63257,8177
63257,43080
63257,101080
63257,23928
63257,40436
63257,88324
63257,214256
63257,119031
63257,50159
63257,65243
63257,5049
63257,2607
63257,191024
63257,37753
63257,173068
63257,92716
63257,170753
63257,74195
63257,57090
63257,148503
63257,107975
63257,51785
63257,24209
63257,17738
77794,79881
77794,66268
127842,107326
127842,96971
127842,281
111083,7542
111083,4131
111083,12
111083,6755
87652,61172
12781,96339
12781,8598
12781,64514
12781,46876
12781,4020
105828,96971
105828,281
55727,177469
55727,46876
55727,52461
55727,36389
55727,53970
97856,96971
97856,46484
97856,83332
97856,557
97856,287
97856,108481
97856,39351
97856,70673
97856,62240
97856,75806
97856,22843
97856,7319
97856,17984
97856,52461
97856,85738
97856,41994
97856,61172
97856,28204
97856,50159
97856,90574
97856,54380
97856,64514
97856,37775
97856,87005
97856,53995
97856,7846
97856,56455
97856,27497
97856,86713
97856,443
14166,20979
14166,24067
14166,26497
14166,26172
14166,24987
14166,14648
21024,12
33230,3100
33230,110795
33230,141856
4399,25780
23280,39201
23280,557
23280,17984
23280,182
23280,5138
80014,61172
135562,54700
61876,139402
61876,268639
61876,5418
61876,459506
61876,288556
61876,5546
61876,288532
61876,8144
61876,42621
61876,414479
61876,416519
61876,210645
61876,310017
61876,172470
61876,104823
61876,321436
61876,23938
61876,312071
61876,293448
61876,300921
61876,38043
61876,211237
61876,265673
61876,64023
61876,4910
61876,36963
61876,49578
61876,89615
61876,43746
61876,148339
61876,118944
61876,98735
61876,5016
61876,17697
61876,1054
61876,179387
61876,64913
61876,38718
61876,45998
61876,118482
31876,4064
31876,8056
31876,6755
63927,63674
69963,61172
24164,41994
24164,19253
24164,52461
24164,23054
24164,39362
24164,281
24164,28204
24164,17984
24164,35821
24164,37093
24164,4020
24164,12148
24164,4452
24164,557
24164,24674
53243,195181
53243,178691
53243,177883
53243,137336
53243,140398
53243,178853
53243,120705
53243,100701
53243,138607
53243,64078
53243,154437
53243,154581
53243,141856
53243,107326
53243,137329
53243,121032
53243,56995
53243,96971
53243,88837
53243,77169
53243,64023
53243,7846
53243,42192
53243,22598
157516,167871
157516,6774
157516,65273
157516,206155
157516,205006
157516,199612
157516,195181
157516,54380
157516,107326
157516,42192
157516,141856
157516,120705
157516,177883
157516,182134
157516,3466
157516,167323
157516,64514
157516,66403
157516,121032
157516,23054
157516,100450
157516,52461
157516,12
157516,46876
157516,28204
157516,52437
157516,117868
157516,153871
157516,53995
157516,7846
84556,61172
28901,22817
28901,19389
28901,28380
118491,162729
71723,3100
71723,16113
71723,17626
71723,49297
9587,152654
9587,167871
9587,22425
9587,77318
9587,42192
9587,21365
9587,80973
9587,62240
9587,100511
9587,60051
9587,105325
9587,96854
9587,96339
9587,75436
9587,97151
9587,108437
9587,287
9587,28204
9587,74789
9587,121032
9587,7846
9587,137349
9587,137087
9587,137367
9587,121243
9587,141856
9587,148279
9587,152191
9587,154831
9587,64078
9587,105131
9587,179578
9587,167323
9587,162368
9587,138607
9587,56995
9587,53995
9587,107326
9587,135819
9587,134353
39411,97010
39411,95771
39411,41144
39411,35
39411,45213
39411,78879
39411,5210
39411,2410
39411,25238
39411,11803
39411,7314
108014,105186
108014,118844
115238,8598
52483,64078
52483,96971
150269,54933
145399,146970
67844,1
16174,12
16174,6755
16174,10548
7979,337291
7979,1645
66429,80973
66429,76864
79562,218777
79562,161098
79562,66403
79562,152654
79562,176522
79562,188008
79562,162368
79562,93272
79562,190526
79562,100701
79562,137329
79562,178853
79562,182134
79562,64078
79562,152635
79562,167323
79562,163784
79562,142800
79562,138607
79562,105131
79562,27096
79562,13643
79562,140509
79562,80973
79562,158249
79562,121032
79562,141856
79562,154831
79562,152191
79562,148279
79562,42192
79562,107326
79562,1636
79562,52437
79562,138273
79562,96971
79562,88837
79562,120705
79562,125144
79562,281
88469,271606
88469,331498
88469,347787
88469,293047
88469,330280
88469,314638
88469,294599
88469,293602
88469,323783
88469,312162
88469,293146
88469,310017
88469,330705
88469,155175
88469,346253
88469,290345
88469,340063
88469,235342
88469,1121
88469,61779
88469,318205
88469,144058
88469,320098
88469,10163
88469,312111
88469,312071
88469,323767
88469,38786
88469,315699
88469,293834
88469,220161
88469,74700
88469,88324
88469,102255
88469,154564
88469,77202
88469,306286
88469,138038
88469,209901
88469,295020
123280,27074
77707,78115
68897,61172
16201,16417
16201,5864
63571,76864
63571,2497
63571,1361
63571,56814
63571,311
63571,14404
63571,54717
115592,6755
84798,61172
91855,165360
91855,163722
91855,59899
52685,21190
85308,61172
140090,154552
140090,147609
140090,120816
140090,115336
140090,112332
140090,112494
140090,112876
140090,113359
140090,114244
140090,113692
140090,118615
140090,139741
140090,153866
140090,123574
140090,115627
140090,120139
140090,138842
140090,114963
97826,5016
97826,42621
97826,38043
97826,23054
97826,60346
97826,69307
97826,53995
97826,80973
97826,5541
97826,1361
97826,90411
97826,38099
97826,97302
97826,75731
97826,102453
97826,18857
97826,86713
97826,79529
97826,102322
97826,61044
97826,7846
97826,101672
97826,101934
97826,3315
97826,61172
97826,62240
97826,59767
66371,281
61520,12
61520,25838
61520,16219
61520,66873
118002,281
25309,46876
25309,96971
25309,63292
25309,22816
25309,678
25309,9919
25309,72948
25309,287
25309,6915
25309,9635
25309,8056
25309,15172
25309,13780
25309,22082
25309,2409
25309,3413
25309,10493
25309,6755
25309,9063
25309,10647
25309,8382
25309,10762
25309,15743
25309,16213
25309,15959
25309,9411
25309,19522
25309,19440
25309,31208
44813,189053
44813,207090
44813,11362
44813,112460
44813,288748
44813,191972
44813,99937
44813,121628
44813,137256
44813,232366
44813,220161
44813,100847
44813,37753
44813,38670
44813,33903
44813,40863
44813,248541
44813,207815
44813,38099
44813,53775
44813,39786
44813,223594
44813,53812
44813,107909
44813,53965
44813,193924
44813,211237
44813,221021
44813,95366
44813,17893
44813,167552
44813,249774
44813,240487
44813,19718
44813,15192
44813,173210
44813,248711
44813,28371
44813,86997
44813,1431
23634,91461
32396,66403
32396,64078
85094,62240
85094,103726
85094,4422
85094,58056
85094,64023
85094,92076
85094,66709
85094,50525
85094,72228
85094,61361
85094,41994
85094,7846
85094,86713
85094,3512
85094,53995
85094,99935
85094,46876
85094,88995
85094,4020
85094,87014
85094,49750
12909,18436
12909,12
12909,3100
25784,18741
96012,12
121541,207897
121541,978
121541,96971
102338,41908
42648,189836
42648,88837
42648,120705
