from,to
56927,31604
56927,141441
56927,35312
56927,36389
56927,168020
56927,92076
56927,259219
56927,9749
56927,54673
56927,36951
56927,81844
56927,249774
56927,36963
56927,107175
56927,56495
56927,207676
56927,3584
56927,6260
56927,12
1121,324395
1121,312098
1121,50159
1121,447876
1121,445694
1121,225423
1121,226263
1121,435270
1121,66098
1121,426420
1121,257332
1121,424540
1121,269902
1121,41065
1121,330705
1121,342165
1121,410793
1121,341750
1121,414994
1121,344164
1121,345970
1121,343196
1121,340063
1121,340870
1121,338160
1121,8275
1121,335322
1121,329671
1121,325871
1121,316070
1121,325822
1121,327221
1121,323767
1121,294599
1121,321555
1121,315699
1121,317129
1121,311079
1121,320054
1121,315826
36963,348372
36963,45713
36963,253306
36963,326885
36963,415495
36963,8275
36963,3809
36963,306286
36963,3858
36963,279676
36963,279721
36963,227429
36963,294194
36963,24413
36963,194622
36963,302520
36963,173581
36963,246811
36963,993
36963,72541
36963,277661
36963,293983
36963,293379
36963,276904
36963,200093
36963,98110
36963,277949
36963,266618
36963,163759
36963,275848
36963,48296
36963,47808
36963,211958
36963,211237
36963,33381
36963,126
36963,280488
36963,60746
36963,19057
36963,72748
281062,91937
281062,124169
64486,5824
64486,156976
64486,410773
64486,124170
64486,271606
64486,288556
64486,343196
64486,220161
64486,222194
64486,197323
64486,194144
64486,327221
64486,323485
64486,302815
64486,326173
64486,17562
64486,42621
64486,144058
64486,305377
64486,239136
64486,225423
64486,223085
64486,174331
64486,222241
64486,125017
64486,312071
64486,90400
64486,63018
64486,209680
64486,193650
64486,267629
64486,229745
64486,107950
64486,264334
64486,263126
64486,4737
64486,88837
64486,176493
64486,81844
64486,149350
161384,224898
161384,222194
161384,324395
161384,415106
161384,321555
161384,305358
161384,302717
161384,300736
161384,291329
161384,4020
161384,95843
161384,280034
161384,279036
161384,195654
161384,203220
161384,233385
161384,268002
161384,15192
161384,263050
161384,69813
161384,144058
161384,261035
161384,135326
161384,17710
161384,151921
161384,48876
161384,5003
161384,258672
161384,50296
161384,229525
161384,238966
161384,248496
161384,162318
161384,81844
161384,213966
161384,254668
161384,193158
161384,190717
161384,53965
161384,204152
188658,336459
188658,264334
188658,119035
188658,237209
188658,28547
188658,81844
188658,17984
188658,235070
188658,228957
188658,46876
188658,207090
188658,24508
188658,154564
188658,137401
188658,146236
188658,58270
188658,145433
188658,42192
188658,107326
188658,100701
188658,121032
188658,120705
188658,66403
188658,96971
188658,178853
188658,195181
188658,194712
188658,186544
188658,52217
199538,255353
199538,100737
199538,78480
199538,210895
199538,201481
199538,53995
199538,177883
199538,116341
199538,199829
199538,185929
199538,152712
199538,1412
199538,78318
199538,3632
199538,5081
199538,108871
199538,3202
199538,108924
199538,1460
199538,145334
199538,1969
199538,115385
199538,61655
199538,64776
199538,200626
199538,100701
199538,53820
199538,2759
199538,200842
199538,780
199538,123287
199538,201415
199538,42192
199538,66403
199538,166632
199538,27788
199538,35312
199538,5159
199538,195181
199538,13060
12148,418674
12148,332726
12148,316310
12148,285947
12148,288565
12148,96095
12148,293606
12148,297292
12148,79160
12148,316707
12148,318205
12148,313886
12148,340791
12148,35414
12148,323993
12148,325336
12148,324148
12148,332841
12148,337547
12148,306168
12148,307976
12148,20314
12148,8624
12148,239602
12148,274270
12148,112786
12148,52203
12148,5546
12148,59296
12148,273848
12148,275076
12148,42992
12148,247643
12148,73158
12148,88322
12148,249294
12148,274543
12148,157892
12148,14116
12148,90968
218233,4910
218233,8144
218233,312098
218233,17655
218233,14982
218233,40436
218233,324437
218233,439244
218233,418283
218233,441217
218233,343196
218233,340063
218233,321231
218233,293834
218233,35132
218233,174331
218233,312144
218233,175042
218233,309696
218233,7149
218233,107175
218233,298946
218233,277739
218233,274330
218233,286615
218233,196605
218233,250020
218233,280440
218233,296996
218233,284564
218233,100544
218233,171276
218233,1890
218233,292095
218233,69324
218233,292553
218233,287700
218233,4020
218233,26059
218233,12148
119035,104354
119035,177001
119035,294769
119035,293955
119035,291859
119035,293379
119035,227023
119035,24413
119035,292571
119035,172470
119035,107909
119035,274981
119035,61044
119035,289309
119035,287645
119035,99050
119035,60746
119035,14488
119035,72507
119035,167041
119035,250303
119035,254223
119035,96233
119035,6481
119035,176642
119035,277218
119035,277447
119035,148096
119035,17893
119035,267427
119035,60346
119035,88324
119035,162729
119035,5238
119035,1872
119035,227077
119035,248541
119035,46013
119035,85148
119035,265673
7935,81844
7935,57002
7935,65349
7935,20548
7935,21371
7935,31144
7935,5009
340,12
12,495158
12,11221
12,47907
12,444355
12,271012
12,441193
12,435278
12,15642
12,324575
12,6326
12,423941
12,279910
12,200676
12,5916
12,200490
12,19793
12,10959
12,327289
12,324592
12,326619
12,200933
12,75099
12,292053
12,235914
12,222903
12,5943
12,230547
12,254566
12,21089
12,1431
12,323655
12,321139
12,208348
12,1072
12,53934
12,292551
12,268435
12,156164
12,291269
12,98104
79374,61172
61172,445694
61172,42621
61172,118944
61172,50468
61172,114766
61172,207464
61172,32970
61172,169904
61172,9280
61172,215821
61172,214248
61172,249916
61172,273187
61172,8177
61172,184417
61172,227077
61172,157239
61172,193828
61172,224673
61172,258399
61172,74256
61172,231118
61172,7388
61172,210011
61172,206889
61172,277467
61172,279463
61172,4413
61172,56172
61172,107578
61172,70834
61172,278871
61172,137256
61172,149807
61172,228421
61172,208616
61172,43260
61172,269848
61172,232312
61172,241816
227077,162191
227077,486721
227077,195718
227077,342566
227077,427200
227077,448023
227077,329831
227077,253306
227077,311194
227077,148503
227077,164244
227077,8275
227077,416519
227077,325871
227077,442358
227077,340063
227077,309907
227077,268658
227077,342165
227077,439427
227077,7889
227077,58183
227077,221021
227077,327568
227077,309156
227077,339213
227077,71617
227077,222784
227077,2932
227077,414479
227077,297855
227077,303484
227077,336678
227077,95366
227077,66098
227077,427769
227077,426816
227077,327468
227077,339768
227077,38786
74256,74924
74256,73863
74256,38
241816,437437
241816,312098
241816,457043
241816,290345
241816,138189
241816,55509
241816,155175
241816,271606
241816,415106
241816,293146
241816,410793
241816,155200
241816,94974
241816,312162
241816,196174
241816,6260
241816,278
241816,324299
241816,186135
241816,138038
241816,290437
241816,31495
241816,302198
241816,208130
241816,1121
241816,57090
241816,50159
241816,277447
241816,211237
241816,293848
241816,311130
241816,311093
241816,217114
241816,347787
241816,234419
241816,345970
241816,156553
241816,342165
241816,53812
241816,340063
118944,502847
118944,496677
118944,486257
118944,495434
118944,493219
118944,485950
118944,162191
118944,486842
118944,486732
118944,486417
118944,483127
118944,290805
118944,443162
118944,267455
118944,56658
118944,486034
118944,93907
118944,347576
118944,485050
118944,8177
118944,63608
118944,446192
118944,435558
118944,482936
118944,482874
118944,144576
118944,466811
118944,328393
118944,482835
118944,63235
118944,482443
118944,423584
118944,482369
118944,174621
118944,3618
118944,466728
118944,435278
118944,463306
118944,344533
118944,466659
224673,62943
224673,410793
224673,17984
224673,191300
224673,226263
224673,323767
224673,330443
224673,288556
224673,4910
224673,42621
224673,50101
224673,61172
224673,144058
224673,263126
224673,177469
224673,66403
224673,176493
273187,170837
273187,212591
273187,12
50468,174002
50468,998
50468,90651
50468,1043
50468,12
50468,4672
193828,330832
193828,149693
193828,29932
279463,61172
279463,199859
137256,351517
137256,337646
137256,274140
137256,345970
137256,340063
137256,340032
137256,135374
137256,167041
137256,333383
137256,323792
137256,199859
137256,325430
137256,197323
137256,209680
137256,293834
137256,308393
137256,330256
137256,292001
137256,92996
137256,318722
137256,333573
137256,310741
137256,332948
137256,329671
137256,253306
137256,330280
137256,329831
137256,328442
137256,325095
137256,261317
137256,293047
137256,293602
137256,282760
137256,222784
137256,186135
137256,294769
137256,293729
137256,278984
137256,312071
137256,27442
206889,12
206889,272412
149807,220161
149807,160235
149807,312098
149807,221021
149807,439592
149807,439445
149807,234419
149807,303484
149807,66098
149807,429450
149807,426816
149807,355837
149807,195334
149807,320098
149807,320844
149807,338511
149807,91660
149807,144047
149807,185233
149807,105579
149807,316070
149807,321555
149807,325964
149807,324395
149807,325871
149807,321573
149807,320482
149807,318060
149807,221834
149807,300736
149807,302041
149807,302317
149807,193253
149807,40436
149807,5418
149807,295518
