from,to
161384,233385
161384,268002
161384,15192
161384,263050
161384,69813
161384,144058
161384,261035
161384,135326
161384,17710
161384,151921
161384,48876
161384,5003
161384,258672
161384,50296
161384,229525
161384,238966
161384,248496
161384,162318
161384,81844
161384,213966
161384,254668
161384,193158
161384,190717
161384,53965
161384,204152
188658,336459
188658,264334
188658,119035
188658,237209
188658,28547
188658,81844
188658,17984
188658,235070
188658,228957
188658,46876
188658,207090
188658,24508
188658,154564
188658,137401
188658,146236
188658,58270
188658,145433
188658,42192
188658,107326
188658,100701
188658,121032
188658,120705
188658,66403
188658,96971
188658,178853
188658,195181
188658,194712
188658,186544
188658,52217
199538,255353
199538,100737
199538,78480
199538,210895
199538,201481
199538,53995
199538,177883
199538,116341
199538,199829
199538,185929
199538,152712
199538,1412
199538,78318
199538,3632
199538,5081
199538,108871
199538,3202
199538,108924
199538,1460
199538,145334
199538,1969
199538,115385
199538,61655
199538,64776
199538,200626
199538,100701
199538,53820
199538,2759
199538,200842
199538,780
199538,123287
199538,201415
199538,42192
199538,66403
199538,166632
199538,27788
199538,35312
199538,5159
199538,195181
199538,13060
12148,418674
12148,332726
12148,316310
12148,285947
12148,288565
12148,96095
12148,293606
12148,297292
12148,79160
12148,316707
12148,318205
12148,313886
12148,340791
12148,35414
12148,323993
12148,325336
12148,324148
12148,332841
12148,337547
12148,306168
12148,307976
12148,20314
12148,8624
12148,239602
12148,274270
12148,112786
12148,52203
12148,5546
12148,59296
12148,273848
12148,275076
12148,42992
12148,247643
12148,73158
12148,88322
12148,249294
12148,274543
12148,157892
12148,14116
12148,90968
218233,4910
218233,8144
218233,312098
218233,17655
218233,14982
218233,40436
218233,324437
218233,439244
218233,418283
218233,441217
218233,343196
218233,340063
218233,321231
218233,293834
218233,35132
218233,174331
218233,312144
218233,175042
218233,309696
218233,7149
218233,107175
218233,298946
218233,277739
218233,274330
218233,286615
218233,196605
218233,250020
218233,280440
218233,296996
218233,284564
218233,100544
218233,171276
218233,1890
218233,292095
218233,69324
218233,292553
218233,287700
218233,4020
218233,26059
218233,12148
119035,104354
119035,177001
119035,294769
119035,293955
119035,291859
119035,293379
119035,227023
119035,24413
119035,292571
119035,172470
119035,107909
119035,274981
119035,61044
119035,289309
119035,287645
119035,99050
119035,60746
119035,14488
119035,72507
119035,167041
119035,250303
119035,254223
119035,96233
119035,6481
119035,176642
119035,277218
119035,277447
119035,148096
119035,17893
119035,267427
119035,60346
119035,88324
119035,162729
119035,5238
119035,1872
119035,227077
119035,248541
119035,46013
119035,85148
119035,265673
7935,81844
7935,57002
7935,65349
7935,20548
7935,21371
7935,31144
7935,5009
340,12
12,495158
12,11221
12,47907
12,444355
12,271012
12,435278
12,324575
12,6326
12,423941
12,279910
12,5916
12,200490
12,19793
12,10959
12,327289
12,324592
12,326619
12,200933
12,75099
12,292053
12,235914
12,222903
12,5943
12,254566
12,21089
12,1431
12,323655
12,321139
12,208348
12,1072
12,53934
12,292551
12,268435
12,156164
12,291269
12,98104
79374,61172
61172,445694
61172,42621
61172,118944
61172,50468
61172,114766
61172,32970
61172,169904
61172,9280
61172,215821
61172,214248
61172,249916
61172,8177
61172,184417
61172,227077
61172,157239
61172,193828
61172,224673
61172,258399
61172,74256
61172,231118
61172,7388
61172,210011
61172,206889
61172,277467
61172,279463
61172,4413
61172,56172
61172,107578
61172,70834
61172,278871
61172,137256
61172,149807
61172,228421
61172,43260
61172,269848
61172,232312
61172,241816
227077,162191
227077,486721
227077,195718
227077,342566
227077,427200
227077,448023
227077,329831
227077,253306
227077,311194
227077,148503
227077,164244
227077,8275
227077,416519
227077,325871
227077,442358
227077,340063
227077,309907
227077,268658
227077,342165
